Temp,Load,time,COF
600,0.5,260,4.738165577
600,0.5,280,4.78402843
600,0.5,300,4.825798371
600,0.5,320,4.863936985
600,0.5,340,4.898828717
600,0.5,360,4.930797475
600,0.5,380,4.960118945
600,0.5,400,4.987029895
600,1,0,0.95
600,1,20,2.807861092
600,1,40,3.212314281
600,1,60,3.475646985
600,1,80,3.672078088
600,1,100,3.828164222
600,1,120,3.956820971
600,1,140,4.065415307
600,1,160,4.158590923
600,1,180,4.239484257
600,1,200,4.3103241
600,1,220,4.372757253
600,1,240,4.428038713
600,1,260,4.477149245
600,1,280,4.520871453
600,1,300,4.559840898
600,1,320,4.594581536
600,1,340,4.625530968
600,1,360,4.653058844
600,1,380,4.677480551
600,1,400,4.699067579
600,2,0,0.7626
600,2,20,2.742390891
600,2,40,3.104041157
600,2,60,3.330437121
600,2,80,3.493909905
600,2,100,3.619903864
600,2,120,3.72065404
600,2,140,3.803079002
600,2,160,3.871509134
600,2,180,3.92885186
600,2,200,3.977162569
600,2,220,4.017953002
600,2,240,4.052370521
600,2,260,4.081308448
600,2,280,4.105477192
600,2,300,4.125451882
600,2,320,4.141705278
600,2,340,4.154631156
600,2,360,4.164561304
600,2,380,4.171778129
600,2,400,4.176524186
600,5,0,0.57
600,5,20,2.558310978
600,5,40,2.873901776
600,5,60,3.075924255
600,5,80,3.226286425
600,5,100,3.346328398
600,5,120,3.446174004
600,5,140,3.531489253
600,5,160,3.605790907
600,5,180,3.671423431
600,5,200,3.730034061
600,5,220,3.782827776
600,5,240,3.830714663
600,5,260,3.874400183
600,5,280,3.914443092
600,5,300,3.951294058
600,5,320,3.98532226
600,5,340,4.016834209
600,5,360,4.04608739
600,5,380,4.073300342
600,5,400,4.098660267
600,8,0,0.5
600,8,20,2.252071251
600,8,40,2.596317335
600,8,60,2.817219953
600,8,80,2.980414552
600,8,100,3.109108543
600,8,120,3.214499417
600,8,140,3.302935544
600,8,160,3.378398842
600,8,180,3.443567573
600,8,200,3.50033806
600,8,220,3.550106974
600,8,240,3.593935643
600,8,260,3.632651331
600,8,280,3.666912584
600,8,300,3.697253046
600,8,320,3.724111758
600,8,340,3.74785471
600,8,360,3.768790509
600,8,380,3.787182024
600,8,400,3.803255178
600,11,0,0.45
600,11,20,2.147790014
600,11,40,2.454367001
600,11,60,2.651049197
600,11,80,2.796937936
600,11,100,2.912701698
600,11,120,3.008240166
600,11,140,3.089134612
600,11,160,3.1588699
600,11,180,3.219780963
600,11,200,3.27351552
600,11,220,3.321283565
600,11,240,3.364002142
600,11,260,3.402384336
600,11,280,3.436996562
600,11,300,3.468296877
600,11,320,3.496661432
600,11,340,3.522403242
600,11,360,3.545785815
600,11,380,3.567033257
600,11,400,3.586337902
